step,beat_f1_test,beat_f1_val,train_loss
1,,,0.09144114702939987
2,,,0.08641252666711807
3,,,0.08450716733932495
4,,,0.08398578315973282
5,,,0.08280317485332489
6,,,0.08220233023166656
7,,,0.08168995380401611
8,,,0.08128252625465393
9,,,0.08102911710739136
10,,,0.08023781329393387
11,,,0.07975560426712036
12,,,0.07944460213184357
13,,,0.07908232510089874
14,,,0.07864287495613098
15,,,0.07840998470783234
16,,,0.07811231166124344
17,,,0.07764757424592972
18,,,0.07732997089624405
19,,,0.07750900089740753
20,0.6359524130821228,0.6111111044883728,0.07677998393774033
21,,,0.07614518702030182
22,,,0.07594315707683563
23,,,0.07536999881267548
24,,,0.07517273724079132
25,,,0.07461730390787125
26,,,0.07466758042573929
27,,,0.07428012788295746
28,,,0.07344402372837067
29,,,0.07330583035945892
30,,,0.07294224947690964
31,,,0.07275623828172684
32,,,0.07267915457487106
33,,,0.07228893041610718
34,,,0.07200144231319427
35,,,0.07150787115097046
36,,,0.07140689343214035
37,,,0.07110557705163956
38,,,0.07085134088993073
39,,,0.07038300484418869
40,0.6754379868507385,0.5545454621315002,0.07023867219686508
41,,,0.07005193829536438
42,,,0.06947355717420578
43,,,0.06957218796014786
44,,,0.06926044821739197
45,,,0.06888581812381744
46,,,0.06860385090112686
47,,,0.06858742982149124
48,,,0.06821625679731369
49,,,0.06825482845306396
50,,,0.0678485557436943
51,,,0.06740043312311172
52,,,0.06732312589883804
53,,,0.06711836159229279
54,,,0.06688616424798965
55,,,0.06689866632223129
56,,,0.06685709953308105
57,,,0.06633433699607849
58,,,0.06594693660736084
59,,,0.06612498313188553
60,0.7370904684066772,0.6515151262283325,0.06578507274389267
61,,,0.06564418971538544
62,,,0.06531595438718796
63,,,0.0653795674443245
64,,,0.06503014266490936
65,,,0.06478231400251389
66,,,0.06481532007455826
67,,,0.06436818838119507
68,,,0.06445295363664627
69,,,0.06422075629234314
70,,,0.06396318972110748
71,,,0.06403201073408127
72,,,0.06364347785711288
73,,,0.06362783163785934
74,,,0.06300248950719833
75,,,0.06326795369386673
76,,,0.06316280364990234
77,,,0.06290365755558014
78,,,0.06272153556346893
79,,,0.06269271671772003
80,0.764136016368866,0.6727272868156433,0.06229284778237343
81,,,0.06264704465866089
82,,,0.0620591826736927
83,,,0.062272392213344574
84,,,0.06181158125400543
85,,,0.062045104801654816
86,,,0.06190965697169304
87,,,0.06114240735769272
88,,,0.061472337692976
89,,,0.06127932667732239
90,,,0.061231791973114014
91,,,0.0611201673746109
92,,,0.06061454489827156
93,,,0.06100204586982727
94,,,0.060584817081689835
95,,,0.060118407011032104
96,,,0.06017594784498215
97,,,0.05982135236263275
98,,,0.05985227972269058
99,,,0.059754300862550735
100,0.6873906850814819,0.551948070526123,0.05944548174738884
101,,,0.059685371816158295
102,,,0.05941068381071091
103,,,0.05957081541419029
104,,,0.05907057970762253
105,,,0.05895926058292389
106,,,0.059183381497859955
107,,,0.058899059891700745
108,,,0.05866545811295509
109,,,0.05878626927733421
110,,,0.0586993508040905
111,,,0.058518800884485245
112,,,0.0582185834646225
113,,,0.05816291645169258
114,,,0.058108650147914886
115,,,0.05796852707862854
116,,,0.05792057141661644
117,,,0.05786321312189102
118,,,0.057684436440467834
119,,,0.05760679766535759
120,0.7324957847595215,0.5826839804649353,0.0573766715824604
121,,,0.05721447244286537
122,,,0.05698632076382637
123,,,0.05709649994969368
124,,,0.0569659024477005
125,,,0.056921474635601044
126,,,0.05696026608347893
127,,,0.05630486086010933
128,,,0.056585799902677536
129,,,0.056252751499414444
130,,,0.056237149983644485
131,,,0.05641365423798561
132,,,0.05612841621041298
133,,,0.056146975606679916
134,,,0.05559433251619339
135,,,0.055994611233472824
136,,,0.055951207876205444
137,,,0.05566130951046944
138,,,0.05551115423440933
139,,,0.055192817002534866
140,0.7053053379058838,0.6822510957717896,0.055263690650463104
141,,,0.05542067810893059
142,,,0.054916635155677795
143,,,0.05516409873962402
144,,,0.05536005645990372
145,,,0.05506373941898346
146,,,0.054862022399902344
147,,,0.05490599945187569
148,,,0.054500676691532135
149,,,0.054933883249759674
150,,,0.05415039137005806
151,,,0.05418447032570839
152,,,0.054323069751262665
153,,,0.05426469445228577
154,,,0.054071154445409775
155,,,0.054099589586257935
156,,,0.05339207500219345
157,,,0.05398371443152428
158,,,0.05416901782155037
159,,,0.05387668311595917
160,0.7203930020332336,0.6868686676025391,0.05362069606781006
161,,,0.05358319729566574
162,,,0.053478457033634186
163,,,0.05332234874367714
164,,,0.053134944289922714
165,,,0.05343232303857803
166,,,0.05295555293560028
167,,,0.05272570997476578
168,,,0.0533483512699604
169,,,0.052635557949543
170,,,0.05277513340115547
171,,,0.052789922803640366
172,,,0.05257973447442055
173,,,0.052675511687994
174,,,0.05293739587068558
175,,,0.052423883229494095
176,,,0.052483055740594864
177,,,0.05226677283644676
178,,,0.052086878567934036
179,,,0.05228089913725853
180,0.7083985209465027,0.6510822772979736,0.051860496401786804
181,,,0.05198780447244644
182,,,0.05161894112825394
183,,,0.05142595246434212
184,,,0.05159062519669533
185,,,0.051396578550338745
186,,,0.05155176669359207
187,,,0.05159958451986313
188,,,0.05139332264661789
189,,,0.05109880119562149
190,,,0.05149991065263748
191,,,0.051018912345170975
192,,,0.05108873173594475
193,,,0.05094873160123825
194,,,0.05089885741472244
195,,,0.050682153552770615
196,,,0.05054553598165512
197,,,0.05057777836918831
198,,,0.0506400503218174
199,,,0.050566624850034714
200,0.7267777919769287,0.5476190447807312,0.05064816772937775
